Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,139,118,4,4.5,4.5,9.65,1,0.92
2,138,107,4,4.0,4.5,8.87,1,0.76
3,137,104,3,3.0,3.5,8.0,1,0.72
4,138,110,3,3.5,2.5,8.67,1,0.8
5,137,103,2,2.0,3.0,8.21,0,0.65
6,138,115,5,4.5,3.0,9.34,1,0.9
7,138,109,3,3.0,4.0,8.2,1,0.75
8,137,101,2,3.0,4.0,7.9,0,0.68
9,136,102,1,2.0,1.5,8.0,0,0.5
10,138,108,3,3.5,3.0,8.6,0,0.45
11,138,106,3,3.5,4.0,8.4,1,0.52
12,138,111,4,4.0,4.5,9.0,1,0.84
13,138,112,4,4.0,4.5,9.1,1,0.78
14,137,109,3,4.0,3.0,8.0,1,0.62
15,137,104,3,3.5,2.0,8.2,1,0.61
16,137,105,3,3.5,2.5,8.3,0,0.54
17,137,107,3,4.0,3.0,8.7,0,0.66
18,137,106,3,4.0,3.0,8.0,1,0.65
19,137,110,3,4.0,3.0,8.8,0,0.63
20,136,102,3,3.5,3.0,8.5,0,0.62
21,137,107,3,3.0,2.0,7.9,1,0.64
22,138,114,4,3.0,2.0,8.4,0,0.7
23,138,116,5,5.0,5.0,9.5,1,0.94
24,138,119,5,5.0,4.5,9.7,1,0.95
25,139,119,5,4.0,3.5,9.8,1,0.97
26,139,120,5,4.5,4.5,9.6,1,0.94
27,138,109,5,4.5,3.5,8.8,0,0.76
28,136,98,2,1.5,2.5,7.5,1,0.44
29,136,93,1,2.0,2.0,7.2,0,0.46
30,137,99,2,1.5,2.0,7.3,0,0.54
31,136,97,2,3.0,3.0,8.1,1,0.65
32,138,103,3,4.0,4.0,8.3,1,0.74
33,139,118,4,3.0,4.5,9.4,1,0.91
34,139,114,5,4.0,4.0,9.6,1,0.9
35,138,112,5,4.0,5.0,9.8,1,0.94
36,138,110,5,5.0,5.0,9.2,1,0.88
37,136,106,2,4.0,4.0,8.4,0,0.64
38,136,105,1,1.0,2.0,7.8,0,0.58
39,136,105,1,3.0,1.5,7.5,0,0.52
40,137,108,2,4.0,3.5,7.7,0,0.48
41,137,110,3,3.5,3.0,8.0,1,0.46
42,137,105,2,2.5,2.5,8.2,1,0.49
43,137,107,2,2.5,2.0,8.5,1,0.53
44,138,117,4,4.5,4.0,9.1,0,0.87
45,138,113,5,4.5,4.0,9.4,1,0.91
46,138,110,5,5.0,4.0,9.1,1,0.88
47,138,114,5,4.0,5.0,9.3,1,0.86
48,139,119,5,4.5,4.0,9.7,0,0.89
49,138,110,3,3.5,5.0,8.85,1,0.82
50,138,111,4,3.0,4.0,8.4,1,0.78
51,137,98,3,2.5,4.5,8.3,1,0.76
52,137,100,2,1.5,3.5,7.9,1,0.56
53,138,116,4,4.0,3.0,8.0,1,0.78
54,138,112,4,4.0,2.5,8.1,1,0.72
55,138,110,3,3.0,3.5,8.0,0,0.7
56,138,103,3,3.0,3.0,7.7,0,0.64
57,137,102,3,2.0,3.0,7.4,0,0.64
58,136,99,2,4.0,2.0,7.6,0,0.46
59,136,99,1,3.0,2.0,6.8,1,0.36
60,137,104,2,2.0,2.0,8.3,0,0.42
61,137,100,2,3.0,3.0,8.1,0,0.48
62,137,101,3,4.0,3.0,8.2,0,0.47
63,136,105,2,3.0,3.0,8.2,1,0.54
64,137,107,2,4.0,3.0,8.5,1,0.56
65,138,111,3,3.0,3.5,8.7,0,0.52
66,138,112,4,3.5,3.5,8.92,0,0.55
67,138,114,3,3.0,3.0,9.02,0,0.61
68,137,107,2,3.5,3.5,8.64,1,0.57
69,137,109,3,3.5,4.0,9.22,1,0.68
70,138,115,4,4.5,4.0,9.16,1,0.78
71,138,118,5,5.0,5.0,9.64,1,0.94
72,139,112,5,5.0,5.0,9.76,1,0.96
73,138,111,5,5.0,5.0,9.45,1,0.93
74,137,108,4,4.5,4.0,9.04,1,0.84
75,137,106,3,3.0,5.0,8.9,0,0.74
76,138,114,2,2.0,4.0,8.56,1,0.72
77,138,112,3,3.0,3.0,8.72,1,0.74
78,136,99,2,3.0,2.0,8.22,0,0.64
79,136,95,2,3.0,2.0,7.54,1,0.44
80,136,93,1,1.5,2.0,7.36,0,0.46
81,137,105,3,2.0,3.0,8.02,1,0.5
82,139,120,4,5.0,5.0,9.5,1,0.96
83,138,110,5,5.0,4.5,9.22,1,0.92
84,138,115,5,4.0,4.5,9.36,1,0.92
85,139,115,5,4.5,4.5,9.45,1,0.94
86,137,103,4,4.5,3.5,8.66,0,0.76
87,137,106,3,4.5,3.5,8.42,0,0.72
88,137,107,2,3.5,3.0,8.28,0,0.66
89,137,108,3,4.5,3.5,8.14,0,0.64
90,137,109,4,4.5,3.5,8.76,1,0.74
91,137,106,2,4.0,4.0,7.92,1,0.64
92,136,97,3,5.0,3.5,7.66,0,0.38
93,136,98,2,4.0,3.0,8.03,0,0.34
94,136,97,2,3.0,3.0,7.88,1,0.44
95,136,99,3,2.0,2.5,7.66,0,0.36
96,136,100,4,1.5,2.5,7.84,0,0.42
97,137,100,2,3.0,3.0,8.0,0,0.48
98,138,120,3,4.0,4.0,8.96,1,0.86
99,138,119,4,5.0,4.5,9.24,1,0.9
100,138,113,3,4.0,4.0,8.88,1,0.79
101,138,107,3,3.5,3.5,8.46,1,0.71
102,137,105,2,2.5,3.0,8.12,0,0.64
103,137,106,2,4.0,3.5,8.25,0,0.62
104,137,104,2,4.5,4.0,8.47,0,0.57
105,138,112,3,3.5,3.0,9.05,1,0.74
106,137,110,3,4.0,4.5,8.78,1,0.69
107,138,111,4,4.5,4.5,9.18,1,0.87
108,139,117,4,3.5,4.5,9.46,1,0.91
109,138,116,5,5.0,5.0,9.38,1,0.93
